bin	count
0	8
1.00394	4
2.00787	5
3.01181	3
4.01575	3
5.01969	3
6.02362	15
7.02756	7
8.0315	8
9.03543	9
10.0394	10
11.0433	8
12.0472	9
13.0512	12
14.0551	20
15.0591	8
16.063	8
17.0669	18
18.0709	14
19.0748	18
20.0787	34
21.0827	37
22.0866	26
23.0906	35
24.0945	205
25.0984	73
26.1024	124
27.1063	127
28.1102	52
29.1142	61
30.1181	44
31.122	42
32.126	32
33.1299	40
34.1339	55
35.1378	53
36.1417	58
37.1457	89
38.1496	107
39.1535	109
40.1575	119
41.1614	170
42.1654	98
43.1693	124
44.1732	129
45.1772	127
46.1811	179
47.185	239
48.189	378
49.1929	420
50.1968	475
51.2008	506
52.2047	761
53.2087	636
54.2126	991
55.2165	774
56.2205	1002
57.2244	1262
58.2283	1133
59.2323	914
60.2362	660
61.2402	589
62.2441	538
63.248	529
64.252	569
65.2559	549
66.2598	563
67.2638	559
68.2677	682
69.2717	634
70.2756	602
71.2795	630
72.2835	543
73.2874	513
74.2913	516
75.2953	475
76.2992	490
77.3031	403
78.3071	430
79.311	512
80.315	351
81.3189	529
82.3228	562
83.3268	457
84.3307	410
85.3346	410
86.3386	424
87.3425	405
88.3465	347
89.3504	378
90.3543	391
91.3583	399
92.3622	368
93.3661	355
94.3701	324
95.374	320
96.378	269
97.3819	292
98.3858	309
99.3898	280
100.394	235
101.398	278
102.402	250
103.406	264
104.409	289
105.413	288
106.417	291
107.421	256
108.425	275
109.429	236
110.433	276
111.437	280
112.441	280
113.445	225
114.449	287
115.453	236
116.457	325
117.461	242
118.465	286
119.469	249
120.472	255
121.476	238
122.48	302
123.484	259
124.488	259
125.492	318
126.496	359
127.5	830
128.504	572
129.508	397
130.512	494
131.516	505
132.52	523
133.524	542
134.528	443
135.531	542
136.535	581
137.539	550
138.543	600
139.547	550
140.551	619
141.555	984
142.559	761
143.563	1170
144.567	621
145.571	1322
146.575	1054
147.579	908
148.583	969
149.587	450
150.591	551
151.594	523
152.598	490
153.602	641
154.606	414
155.61	491
156.614	499
157.618	494
158.622	505
159.626	367
160.63	359
161.634	536
162.638	284
163.642	429
164.646	283
165.65	367
166.654	404
167.657	346
168.661	335
169.665	347
170.669	259
171.673	330
172.677	314
173.681	302
174.685	262
175.689	214
176.693	219
177.697	235
178.701	245
179.705	188
180.709	225
181.713	233
182.717	229
183.72	179
184.724	208
185.728	219
186.732	194
187.736	203
188.74	209
189.744	218
190.748	211
191.752	198
192.756	218
193.76	229
194.764	207
195.768	196
196.772	215
197.776	269
198.78	184
199.783	191
200.787	227
201.791	296
202.795	276
203.799	234
204.803	202
205.807	258
206.811	175
207.815	271
208.819	197
209.823	170
210.827	203
211.831	100
212.835	74
213.839	63
214.843	59
215.846	64
216.85	66
217.854	69
218.858	60
219.862	61
220.866	76
221.87	46
222.874	55
223.878	55
224.882	53
225.886	59
226.89	56
227.894	66
228.898	64
229.902	72
230.906	76
231.909	66
232.913	72
233.917	76
234.921	77
235.925	87
236.929	81
237.933	113
238.937	91
239.941	79
240.945	82
241.949	68
242.953	81
243.957	73
244.961	58
245.965	60
246.969	98
247.972	105
248.976	114
249.98	135
250.984	144
251.988	165
252.992	201
253.996	585
255	897

