nthetas 60 theta_inc 3 max_rho 410 rows 240 cols 320min_value 0 max_value 35705
	-205	-204	-203	-202	-201	-200	-199	-198	-197	-196	-195	-194	-193	-192	-191	-190	-189	-188	-187	-186	-185	-184	-183	-182	-181	-180	-179	-178	-177	-176	-175	-174	-173	-172	-171	-170	-169	-168	-167	-166	-165	-164	-163	-162	-161	-160	-159	-158	-157	-156	-155	-154	-153	-152	-151	-150	-149	-148	-147	-146	-145	-144	-143	-142	-141	-140	-139	-138	-137	-136	-135	-134	-133	-132	-131	-130	-129	-128	-127	-126	-125	-124	-123	-122	-121	-120	-119	-118	-117	-116	-115	-114	-113	-112	-111	-110	-109	-108	-107	-106	-105	-104	-103	-102	-101	-100	-99	-98	-97	-96	-95	-94	-93	-92	-91	-90	-89	-88	-87	-86	-85	-84	-83	-82	-81	-80	-79	-78	-77	-76	-75	-74	-73	-72	-71	-70	-69	-68	-67	-66	-65	-64	-63	-62	-61	-60	-59	-58	-57	-56	-55	-54	-53	-52	-51	-50	-49	-48	-47	-46	-45	-44	-43	-42	-41	-40	-39	-38	-37	-36	-35	-34	-33	-32	-31	-30	-29	-28	-27	-26	-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	109	0	0	0	0	0	0	0	131	106	0	103	237	412	360	132	220	0	234	127	242	468	320	138	485	542	403	340	605	446	0	383	630	518	432	306	320	392	590	377	118	819	722	517	575	720	538	813	873	513	868	775	674	670	693	917	1031	402	629	679	673	860	836	1051	720	686	1061	760	808	1135	911	925	931	1020	712	898	957	896	657	905	837	754	890	681	944	1033	806	1054	1270	824	773	697	1142	1167	780	1354	1136	848	1268	1003	818	948	855	1075	1030	774	1047	1051	1164	1077	934	1343	1287	1137	1044	816	998	1103	855	1119	1146	828	1289	855	958	1104	859	1145	1165	714	1036	999	945	1065	496	1224	1301	1016	919	906	806	940	767	813	882	1260	968	783	753	1042	870	1079	1156	970	1043	933	862	783	822	831	791	709	971	889	699	741	829	761	805	779	835	893	938	878	599	1135	1103	571	751	872	916	741	887	789	464	744	959	709	750	981	609	618	724	749	690	639	915	1015	571	857	877	542	700	778	731	805	743	703	717	755	737	566	847	931	715	699	921	755	409	789	767	426	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	109	0	0	0	0	0	0	0	0	131	106	0	218	410	262	222	132	220	0	234	127	242	468	458	217	268	644	410	231	605	446	0	383	630	518	432	306	320	392	590	377	118	491	675	484	643	592	685	633	837	649	752	637	655	803	645	960	993	584	402	629	782	804	746	831	936	720	686	1061	760	1943	911	925	931	1020	712	898	732	807	585	745	687	809	758	773	886	974	904	959	1244	953	692	773	993	1112	901	1013	1360	1042	1086	1129	860	717	948	855	1075	1030	774	823	830	880	1077	1158	1564	1571	946	969	971	851	793	850	792	1130	916	1156	1072	872	1077	857	978	1130	1061	714	1036	1118	1068	823	860	1154	1007	1016	919	906	806	940	767	813	882	1260	968	783	753	1042	870	1079	1156	601	908	745	692	862	996	609	941	681	709	971	889	699	741	951	763	681	779	835	893	938	878	756	1109	972	571	751	872	916	741	887	789	464	744	959	709	750	981	609	407	443	601	640	690	639	915	1015	571	857	877	542	700	778	731	805	743	703	717	755	737	566	847	931	715	699	921	755	409	789	767	426	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	109	0	0	0	0	0	0	0	131	106	0	218	252	282	360	132	220	0	234	127	110	349	600	326	0	268	644	410	343	611	328	0	489	796	246	432	306	437	514	291	437	391	458	544	481	537	592	685	633	837	649	752	637	655	674	670	1064	993	584	402	443	703	668	521	741	1205	762	512	820	940	759	958	1018	1057	931	1783	805	778	848	896	790	629	604	606	641	773	886	974	904	959	1244	953	692	773	993	1112	901	1013	1360	1042	834	923	746	678	717	946	988	1078	790	774	927	827	890	1067	1125	1325	1013	1465	1275	1204	901	787	1035	746	798	962	1041	961	872	1077	857	1088	1128	953	828	922	1118	1068	823	860	1154	799	610	1274	713	655	715	935	897	680	1055	983	968	886	875	936	1050	1078	858	852	1161	933	691	803	617	630	667	681	709	971	889	699	741	951	763	681	779	835	893	938	878	877	1096	864	390	656	585	725	754	741	887	789	464	744	959	709	750	981	609	618	724	749	690	639	648	818	667	368	857	877	542	700	778	731	805	743	703	717	755	737	566	847	931	715	699	718	692	451	351	662	767	426	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	109	0	0	0	0	0	0	0	131	0	106	0	218	410	262	222	132	220	0	234	127	353	568	247	217	119	383	519	413	349	493	328	106	655	659	223	320	412	331	370	435	282	428	462	658	610	532	468	997	657	501	649	752	531	536	445	733	1001	901	672	561	299	732	913	690	741	1054	772	478	617	996	698	653	688	1316	1063	842	862	935	685	669	1744	790	629	604	606	641	874	912	953	935	1147	1051	821	692	908	814	856	577	1369	981	1008	1064	1053	880	865	717	1079	986	947	790	774	660	742	696	759	1146	1221	1066	1226	1115	1056	823	1133	1308	1227	814	791	771	1337	822	876	709	857	1192	1024	953	939	1043	1009	945	823	860	802	705	768	902	919	906	806	1177	871	576	1055	983	968	696	637	683	1510	757	715	685	970	1043	933	963	895	719	831	681	709	745	803	520	491	863	953	639	681	779	835	893	938	878	1008	804	765	391	915	585	725	754	741	887	789	464	616	1087	709	750	981	609	407	443	601	640	690	639	915	1015	571	857	877	542	700	661	585	545	716	764	596	610	755	737	566	847	931	715	699	921	755	409	472	587	497	426	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	109	0	0	0	0	0	0	0	0	131	106	0	218	410	138	124	222	132	220	0	234	127	459	600	326	0	221	390	671	270	231	493	328	106	655	659	223	166	628	529	214	144	351	546	462	658	610	532	468	847	644	322	689	659	515	517	655	953	1001	901	672	561	134	416	829	854	401	741	1205	869	646	699	833	765	684	953	1070	611	842	862	935	685	669	848	1151	780	497	1097	641	1007	779	953	935	1147	1051	821	513	986	764	692	744	1297	948	1151	1174	1053	880	865	603	896	729	821	680	790	774	927	938	880	1258	1221	918	991	979	957	739	702	909	1190	967	1124	1363	1325	963	919	599	670	994	814	1131	846	939	1148	1023	826	1187	790	508	705	768	902	919	906	806	1177	871	576	1055	782	981	659	640	907	1216	811	780	858	852	1161	933	792	814	615	520	667	681	709	971	889	699	863	953	639	476	675	595	678	764	938	1156	838	857	864	571	751	672	679	637	688	740	789	464	616	1087	709	750	981	609	407	443	601	640	690	639	915	1015	571	857	877	402	619	599	558	573	805	743	703	717	755	623	680	718	768	714	443	549	921	755	409	789	767	426	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	109	0	0	0	0	0	0	0	0	131	106	0	218	410	138	241	105	132	220	0	234	127	597	466	322	0	221	390	522	419	231	493	434	138	517	525	246	111	543	649	345	144	506	514	339	643	453	412	420	869	804	321	625	769	628	411	536	724	1064	838	580	546	561	402	863	799	409	494	1091	944	688	525	698	840	746	991	1042	896	661	804	894	671	576	669	1103	1037	639	497	608	489	980	899	1638	1123	954	783	704	461	1291	865	591	848	1140	1146	1286	1027	668	674	1086	506	861	797	855	947	790	774	764	850	924	979	1148	792	937	1338	1117	959	591	1020	995	928	516	1024	847	1058	1432	965	978	993	1079	828	758	753	922	1158	781	1085	1089	629	860	799	610	876	795	768	1155	932	767	576	1055	782	981	659	640	1190	1251	493	780	858	852	1043	758	705	839	970	520	667	681	709	971	889	508	606	840	961	414	642	643	835	893	1095	970	703	445	1180	391	583	608	872	916	741	772	658	710	410	845	665	492	750	981	609	618	568	905	555	515	517	832	840	571	857	877	402	840	661	585	545	716	550	703	717	755	623	680	718	768	714	443	549	921	755	409	789	767	310	303	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	109	0	0	0	0	0	0	0	0	131	106	0	218	410	138	124	222	132	220	0	234	127	465	560	360	0	211	268	654	419	231	330	436	433	0	518	636	111	543	649	345	0	486	523	485	331	571	499	408	896	755	308	446	685	653	401	411	890	1145	949	528	496	578	366	400	762	799	685	626	1115	956	364	606	694	643	889	1139	918	1120	706	848	523	562	576	669	1103	1037	752	501	491	726	743	1005	656	876	989	1088	1487	757	931	693	827	848	1255	1031	1149	943	990	573	751	676	850	973	855	947	628	614	823	887	938	823	1242	962	893	1120	1292	884	545	852	920	980	737	1126	1027	779	1029	694	909	670	1328	1033	1200	815	1196	1127	667	776	998	791	496	860	1007	752	924	713	1222	797	756	531	724	907	1086	1083	593	931	1112	698	731	715	685	852	1043	859	984	924	505	520	667	681	709	971	889	630	608	716	961	414	642	643	835	790	1319	957	595	445	777	663	571	751	872	783	663	695	946	477	389	635	912	709	750	981	609	407	443	601	640	809	520	915	886	568	835	787	384	560	649	671	731	805	743	543	602	486	660	780	510	744	931	715	699	718	692	451	351	662	767	426	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	131	0	106	115	391	260	124	222	132	103	117	112	122	482	670	251	211	109	119	611	459	152	231	599	600	0	383	525	246	228	769	541	110	299	592	494	440	243	452	491	732	893	468	321	755	563	303	591	364	1268	1232	519	476	370	841	237	547	715	680	570	949	1090	902	350	495	701	517	1331	1001	866	868	809	745	523	562	743	757	989	1000	765	384	491	827	769	878	793	901	1081	801	461	1059	757	931	1623	984	774	1383	1039	943	669	679	779	996	734	956	772	732	585	634	1144	887	870	928	1088	889	718	1086	1363	860	618	947	1231	658	804	1041	902	775	1024	805	744	798	857	1111	828	873	1201	1435	1006	845	1092	956	496	508	705	768	1061	898	1005	910	776	727	489	1104	671	1019	721	1031	1350	609	616	821	730	531	775	1116	933	913	954	507	641	619	485	578	1154	828	823	633	762	575	414	976	595	678	921	1190	826	595	445	1180	391	583	608	872	783	663	983	658	477	389	635	912	709	570	1161	609	407	443	601	895	554	520	915	886	568	440	785	781	560	649	671	731	645	684	762	602	486	660	507	680	718	768	1007	458	559	768	590	536	662	767	310	303	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	109	0	0	0	0	0	0	0	0	131	106	115	288	363	0	124	222	132	220	0	112	498	537	239	251	211	109	380	468	493	118	337	513	462	0	518	502	251	622	509	290	110	540	468	486	460	445	324	566	717	630	468	445	631	866	227	364	671	1191	1130	391	476	753	561	368	433	595	849	401	1100	1197	764	349	502	575	933	1052	864	723	1253	796	625	414	562	850	650	764	1338	652	384	491	590	1112	772	793	1064	918	801	461	816	1266	665	693	776	1138	919	2003	1318	568	679	658	1117	734	659	707	712	967	634	858	1025	1018	846	801	889	1201	1074	986	915	838	939	981	543	1297	627	798	966	1075	835	672	703	1150	834	706	815	1190	1069	772	1150	1137	1387	544	367	732	1121	638	821	1053	1089	693	756	531	853	881	897	878	1293	939	695	698	493	953	685	601	1395	758	714	839	607	773	667	681	424	1030	925	644	491	1009	688	512	476	984	654	805	917	807	1040	437	696	1025	390	656	585	725	954	688	625	904	464	410	717	793	755	709	759	609	618	568	592	568	815	517	832	711	700	703	787	384	560	920	558	573	805	743	543	602	486	926	400	624	744	1044	602	458	559	1092	451	351	662	767	310	303	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
