nthetas 60 theta_inc 3 max_rho 410 hough_cos 0x55a3b6fa8b40 hough_sin 0x55a3b6fa8c40min_value 0 max_value 34381
	-205	-204	-203	-202	-201	-200	-199	-198	-197	-196	-195	-194	-193	-192	-191	-190	-189	-188	-187	-186	-185	-184	-183	-182	-181	-180	-179	-178	-177	-176	-175	-174	-173	-172	-171	-170	-169	-168	-167	-166	-165	-164	-163	-162	-161	-160	-159	-158	-157	-156	-155	-154	-153	-152	-151	-150	-149	-148	-147	-146	-145	-144	-143	-142	-141	-140	-139	-138	-137	-136	-135	-134	-133	-132	-131	-130	-129	-128	-127	-126	-125	-124	-123	-122	-121	-120	-119	-118	-117	-116	-115	-114	-113	-112	-111	-110	-109	-108	-107	-106	-105	-104	-103	-102	-101	-100	-99	-98	-97	-96	-95	-94	-93	-92	-91	-90	-89	-88	-87	-86	-85	-84	-83	-82	-81	-80	-79	-78	-77	-76	-75	-74	-73	-72	-71	-70	-69	-68	-67	-66	-65	-64	-63	-62	-61	-60	-59	-58	-57	-56	-55	-54	-53	-52	-51	-50	-49	-48	-47	-46	-45	-44	-43	-42	-41	-40	-39	-38	-37	-36	-35	-34	-33	-32	-31	-30	-29	-28	-27	-26	-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	109	0	0	0	0	0	0	0	131	106	0	103	237	412	360	132	220	0	234	127	242	468	320	138	485	542	403	340	605	446	0	383	630	518	432	306	320	392	590	377	118	819	722	517	575	720	538	813	873	513	868	775	674	670	693	917	1031	402	629	679	673	860	836	1051	720	686	1061	760	808	1135	911	925	931	1020	712	898	957	896	657	905	837	754	890	681	944	1033	806	1054	1270	824	773	697	1142	1167	780	1354	1136	848	1268	1003	818	948	855	1075	1030	774	1047	1051	1164	1077	934	1343	1287	1137	1044	816	998	1103	855	1119	1146	828	1289	855	958	1104	859	1145	1165	714	1036	999	945	1065	496	1224	1301	1016	919	906	806	940	767	813	882	1260	968	783	753	1042	870	1079	1156	970	1043	933	862	783	822	831	791	709	971	889	699	741	829	761	805	779	835	893	938	878	599	1135	1103	571	751	872	916	741	887	789	464	744	959	709	750	981	609	618	724	749	690	639	915	1015	571	857	877	542	700	778	731	805	743	703	717	755	737	566	847	931	715	699	921	755	409	789	767	426	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	109	0	0	0	0	0	0	0	131	106	0	103	237	412	360	132	220	0	234	127	242	357	431	138	217	268	644	410	343	611	328	0	489	931	223	320	306	437	514	455	273	391	786	591	643	464	596	538	813	873	513	868	775	674	670	693	917	1031	402	443	600	537	635	746	1320	762	512	820	940	759	958	1018	1057	931	736	1047	805	778	848	896	912	791	809	758	773	681	944	1033	806	1054	1270	824	773	697	1142	1167	780	1114	1044	607	1383	889	673	823	842	1092	1078	790	774	927	827	890	1291	1346	1609	1013	1241	1054	920	901	982	971	1106	1043	828	1289	855	958	1104	859	1145	1165	714	1036	999	945	1065	496	872	999	768	902	919	906	806	940	1004	680	926	1112	968	886	765	927	1169	1078	858	970	1043	933	862	783	822	831	791	709	971	889	699	741	829	761	805	779	835	790	749	638	694	715	1096	864	571	751	872	916	741	887	789	464	744	959	709	750	981	609	618	724	749	690	639	915	1015	571	857	877	542	700	778	731	805	743	703	717	533	604	514	510	744	931	715	699	921	755	409	789	767	426	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	109	0	0	0	0	0	0	0	131	106	0	0	218	410	262	222	132	220	0	234	127	353	461	354	217	268	644	410	343	448	330	161	106	655	659	223	320	516	358	383	455	273	495	789	484	643	464	596	850	837	537	463	711	470	512	953	808	773	993	561	299	629	782	804	746	953	814	827	820	834	758	667	646	1216	1079	569	835	842	805	778	848	896	1016	687	809	758	773	782	970	1012	837	1106	960	461	665	888	1064	745	901	1234	1245	936	1192	1023	860	823	842	1092	969	899	774	823	830	784	788	1052	926	1087	1122	1438	1201	1067	1030	971	956	1130	916	1054	1174	872	1077	857	746	1053	866	639	804	1148	904	945	823	860	1154	1007	1016	919	906	806	940	1004	680	778	1260	968	696	637	683	1077	770	962	858	970	1043	933	862	996	609	941	681	709	971	889	699	633	884	699	414	976	595	678	764	938	878	877	1096	864	571	751	872	916	741	887	789	464	616	975	638	446	709	759	609	618	724	749	690	639	915	1015	571	857	877	542	700	778	731	805	743	543	602	486	660	621	566	847	931	715	699	921	755	409	789	767	426	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	109	0	0	0	0	0	0	0	0	131	106	0	218	410	262	222	132	103	117	0	234	127	459	600	326	0	370	651	413	349	493	328	0	281	647	492	223	320	633	480	248	351	428	463	666	484	536	393	422	881	657	612	662	748	517	655	953	1001	773	800	458	402	443	703	668	521	741	1205	869	646	699	939	766	832	1018	1057	768	629	755	791	685	669	848	1151	902	659	813	641	773	886	974	770	814	908	937	631	692	1069	1064	745	1134	1240	1006	1046	1082	902	744	612	624	903	986	947	790	774	927	938	880	1258	1096	1043	1032	1050	979	763	728	949	1411	1251	900	1142	1041	1089	881	940	857	865	934	866	639	804	1148	1023	826	1187	790	860	1007	913	1022	768	944	776	964	593	476	870	983	1071	898	760	1357	927	780	858	852	1043	758	604	828	719	719	831	681	709	971	889	699	863	953	639	681	779	654	648	665	699	1156	838	857	864	571	751	872	916	741	772	658	477	389	763	784	709	750	981	609	618	724	749	690	639	915	886	568	440	785	641	542	700	778	731	805	743	703	717	755	623	538	540	688	805	602	699	921	755	409	789	767	426	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	109	0	0	0	0	0	0	0	0	131	106	0	218	410	262	222	132	220	0	112	122	238	590	473	211	0	370	651	413	349	330	330	267	272	550	492	223	320	633	480	248	351	546	462	330	563	615	292	468	997	657	501	773	748	411	536	724	1064	710	582	672	561	299	732	913	690	619	979	973	485	525	776	742	766	832	1316	1063	842	862	683	648	456	502	1150	849	902	659	813	641	874	912	701	700	1165	725	795	821	692	1069	1064	745	1134	1240	911	1082	812	674	779	865	717	1079	986	947	790	774	764	850	585	950	1003	1176	962	1226	1115	1056	823	909	995	928	516	1248	1205	1077	1089	991	830	857	1192	1024	815	683	816	1163	586	935	1078	790	860	1007	913	1022	768	671	930	860	531	576	1055	983	1071	898	760	1357	927	600	730	531	893	897	933	963	895	719	831	681	709	745	803	520	613	865	829	639	681	779	835	893	938	996	834	445	777	663	571	751	872	916	741	887	789	464	410	845	665	492	750	981	609	618	724	749	690	639	648	818	667	368	857	877	542	700	778	731	805	743	543	602	486	660	621	566	847	931	715	699	921	755	409	472	587	497	426	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	109	0	0	0	0	0	0	0	131	0	106	115	391	260	124	222	132	220	0	112	122	344	591	468	109	102	377	654	419	118	231	375	434	272	383	659	223	437	644	352	104	144	742	499	334	677	499	408	618	844	497	322	926	536	401	517	655	1428	845	478	496	841	134	416	829	685	685	748	1190	886	347	740	751	705	670	995	1170	868	869	846	563	937	444	488	1035	842	874	663	696	533	982	912	701	700	1165	725	795	821	988	1039	798	874	868	1109	772	1140	1031	804	885	759	821	1106	663	841	585	634	747	1183	679	1071	1115	1072	918	1110	860	957	739	1015	933	1083	737	1126	1027	651	1025	1159	1158	817	994	814	1024	953	1058	1008	786	517	1467	838	367	732	1007	913	1022	768	778	823	1187	489	624	722	1086	1083	783	898	1127	1019	600	730	531	893	897	1034	862	1005	507	933	681	424	598	841	706	821	865	829	639	681	779	654	648	665	977	1117	599	857	864	571	751	672	679	637	688	740	789	464	616	1087	709	570	814	654	425	727	601	640	690	639	915	886	568	440	785	781	560	649	671	731	805	743	543	602	486	926	514	510	744	931	715	699	718	692	675	472	587	497	426	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	109	0	0	0	0	0	0	0	0	131	106	115	391	260	124	222	132	103	117	0	234	344	706	353	109	102	228	611	459	152	231	493	434	272	383	525	246	228	658	548	214	144	624	513	331	663	448	288	570	866	657	321	737	770	341	364	470	1189	1205	519	580	546	561	402	677	720	549	401	964	1289	688	525	564	758	579	1119	1098	766	826	866	852	815	576	444	743	921	805	770	663	696	634	821	814	996	888	972	593	795	821	988	1039	644	832	816	1032	1207	1163	898	804	764	643	1077	790	598	821	680	790	774	1139	827	864	961	874	1112	1190	972	910	959	591	1239	1006	698	742	909	838	1112	1052	744	694	1066	1174	1389	758	983	815	1035	781	1190	1117	496	508	705	768	1061	898	875	936	880	727	780	813	671	1019	721	893	1068	1237	629	600	730	531	1286	846	692	974	893	507	933	681	424	598	841	706	821	865	829	639	476	675	963	648	822	951	986	599	857	864	390	656	585	725	954	688	740	789	464	410	1181	638	446	709	759	609	618	724	749	555	515	517	1208	667	368	857	877	402	840	661	585	545	716	550	810	610	755	623	538	540	1088	714	443	549	921	755	409	789	618	279	296	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	109	0	0	0	0	0	0	0	0	131	106	115	391	260	0	124	222	132	220	0	234	376	435	341	360	102	109	380	660	301	118	443	436	433	0	518	636	228	400	675	345	0	417	591	486	460	566	375	429	844	584	352	604	685	653	401	411	843	1018	1123	330	428	649	561	533	563	600	789	501	1076	1078	567	524	571	848	782	1128	670	875	853	1061	630	706	576	551	636	921	1189	503	546	696	634	1031	712	574	1202	972	593	795	1117	779	690	906	832	816	1177	979	1247	998	451	1016	643	743	755	666	1122	680	790	878	872	866	649	932	1242	896	1066	1207	945	763	545	1293	891	732	799	1011	1146	686	892	1004	599	774	1000	812	1023	1165	1307	1288	776	772	1026	658	624	732	1007	752	924	820	785	1127	756	531	853	778	1000	878	544	1271	1112	698	493	780	858	601	1294	859	604	949	607	609	831	681	709	745	803	642	615	1009	688	512	681	779	654	648	943	1284	694	437	857	864	390	656	948	679	637	688	740	789	464	410	1181	638	446	709	759	732	495	724	749	555	515	517	832	1043	368	857	877	402	619	599	868	545	716	550	703	717	533	604	779	540	688	805	602	699	718	958	409	472	587	497	426	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	109	0	0	0	0	0	0	0	131	0	106	245	261	260	124	117	237	103	117	0	234	597	555	140	322	109	231	399	410	301	231	436	602	161	175	622	357	228	769	541	110	417	427	391	472	247	566	375	741	1000	318	432	554	566	540	401	411	1186	1431	367	456	302	947	364	432	563	980	409	824	1051	780	567	524	571	848	1080	997	503	875	1137	777	630	706	576	699	629	780	1306	386	546	635	822	904	849	599	1172	840	593	659	1253	779	791	627	800	1026	1287	972	1144	998	557	573	749	1105	624	666	964	838	628	829	810	1304	633	783	851	1183	1022	1207	765	1091	661	942	841	853	963	798	1021	682	1234	694	629	813	1241	699	720	991	1288	804	927	1059	1516	823	496	508	1151	610	773	1005	898	1022	664	727	928	768	683	904	721	1308	1073	609	616	821	730	531	775	1357	692	913	702	759	641	619	485	578	1154	828	632	824	762	575	414	642	929	678	939	1280	718	595	445	777	794	583	608	672	983	663	695	602	821	389	635	800	821	570	814	654	425	727	601	640	690	639	648	818	667	676	785	641	542	700	661	585	545	1047	433	596	610	755	623	538	540	1088	714	443	549	921	755	409	472	587	627	296	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
