bin	count
0	1233
1	182
2	332
3	227
4	240
5	477
6	350
7	523
8	374
9	642
10	444
11	482
12	830
13	642
14	1034
15	774
16	1321
17	879
18	1775
19	1264
20	1434
21	2312
22	1972
23	3358
24	2335
25	4831
26	4015
27	4829
28	8457
29	7416
30	14765
31	12111
32	27303
33	26663
34	37519
35	70921
36	36513
37	35735
38	15277
39	18131
40	9097
41	10578
42	5183
43	4717
44	5736
45	2973
46	4304
47	2324
48	2995
49	1634
50	1596
51	2015
52	1175
53	1598
54	948
55	1225
56	637
57	620
58	858
59	475
60	708
61	438
62	556
63	304
64	460
65	279
66	193
67	296
68	190
69	225
70	138
71	197
72	109
73	112
74	138
75	74
76	98
77	54
78	67
79	27
80	21
81	30
82	14
83	23
84	17
85	16
86	10
87	9
88	3
89	6
90	4
91	1
92	1
93	1
94	1
95	2
96	2
97	2
98	2
99	2

